shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_136_1,26.17825,127.82492,200013
shapes_136_1,26.17828,127.82486,200014
shapes_136_1,26.17537,127.82847,210001
shapes_136_1,26.17574,127.82833,210002
shapes_136_1,26.17609,127.82809,210003
shapes_136_1,26.17661,127.8276,210004
shapes_136_1,26.17674,127.8275,210005
shapes_136_1,26.17728,127.8273,210006
shapes_136_1,26.17745,127.82715,210007
shapes_136_1,26.17759,127.82693,210008
shapes_136_1,26.17801,127.8261,210009
shapes_136_1,26.17814,127.82574,210010
shapes_136_1,26.17821,127.82535,210011
shapes_136_1,26.17824,127.82506,210012
shapes_136_1,26.17825,127.82492,210013
shapes_136_1,26.17828,127.82486,210014
shapes_136_1,26.17828,127.82486,220001
shapes_136_1,26.17832,127.82475,220002
shapes_136_1,26.17846,127.82439,220003
shapes_136_1,26.17852,127.82424,220004
shapes_136_1,26.17856,127.82397,220005
shapes_136_1,26.17859,127.82354,220006
shapes_136_1,26.17843,127.82284,220007
shapes_136_1,26.17826,127.8224,220008
shapes_136_1,26.17812,127.82208,220009
shapes_136_1,26.17805,127.82213,220010
shapes_136_1,26.17798,127.82217,220011
shapes_136_1,26.17807,127.82501,230001
shapes_136_1,26.17802,127.82499,230002
shapes_136_1,26.17794,127.82492,230003
shapes_136_1,26.17791,127.82471,230004
shapes_136_1,26.17792,127.82427,230005
shapes_136_1,26.17792,127.8237,230006
shapes_136_1,26.17792,127.82355,230007
shapes_136_1,26.1779,127.82305,230008
shapes_136_1,26.17767,127.82271,230009
shapes_136_1,26.17754,127.82238,230010
shapes_136_1,26.17776,127.82226,230011
shapes_136_1,26.17779,127.8223,230012
shapes_136_1,26.17794,127.8222,230013
shapes_136_1,26.17794,127.8222,240001
shapes_136_1,26.17798,127.82217,240002
shapes_136_1,26.17798,127.82217,240003
shapes_136_1,26.17812,127.82208,240004
shapes_136_1,26.17801,127.8218,240005
shapes_136_1,26.17799,127.82163,240006
shapes_136_1,26.17802,127.82133,240007
shapes_136_1,26.17809,127.8211,240008
shapes_136_1,26.17819,127.82094,240009
shapes_136_1,26.17853,127.82064,240010
shapes_136_1,26.17962,127.81993,240011
shapes_136_1,26.18013,127.81965,240012
shapes_136_1,26.18035,127.81958,240013
shapes_136_1,26.18081,127.81947,240014
shapes_136_1,26.18093,127.81945,240015
shapes_136_1,26.18154,127.81935,240016
shapes_136_1,26.18188,127.81928,240017
shapes_136_1,26.18295,127.81899,240018
shapes_136_1,26.18342,127.81884,240019
shapes_136_1,26.18355,127.81877,240020
shapes_136_1,26.18371,127.81876,240021
shapes_136_1,26.17798,127.82217,250001
shapes_136_1,26.17805,127.82213,250002
shapes_136_1,26.17812,127.82208,250003
shapes_136_1,26.17801,127.8218,250004
shapes_136_1,26.17799,127.82163,250005
shapes_136_1,26.17802,127.82133,250006
shapes_136_1,26.17809,127.8211,250007
shapes_136_1,26.17819,127.82094,250008
shapes_136_1,26.17853,127.82064,250009
shapes_136_1,26.17962,127.81993,250010
shapes_136_1,26.18013,127.81965,250011
shapes_136_1,26.18035,127.81958,250012
shapes_136_1,26.18081,127.81947,250013
shapes_136_1,26.18093,127.81945,250014
shapes_136_1,26.18154,127.81935,250015
shapes_136_1,26.18188,127.81928,250016
shapes_136_1,26.18295,127.81899,250017
shapes_136_1,26.18342,127.81884,250018
shapes_136_1,26.18347,127.81882,250019
shapes_136_1,26.18371,127.81876,260001
shapes_136_1,26.18374,127.81876,260002
shapes_136_1,26.18413,127.81878,260003
shapes_136_1,26.18478,127.8189,260004
shapes_136_1,26.18483,127.8189,260005
shapes_136_1,26.18529,127.81892,260006
shapes_136_1,26.1856,127.81894,260007
shapes_136_1,26.18614,127.81896,260008
shapes_136_1,26.1875,127.81901,260009
shapes_136_1,26.18763,127.81902,260010
shapes_136_1,26.18776,127.81898,260011
shapes_136_1,26.18795,127.81889,260012
shapes_136_1,26.18815,127.81869,260013
shapes_136_1,26.18842,127.8182,260014
shapes_136_1,26.1887,127.81735,260015
shapes_136_1,26.18347,127.81882,270001
shapes_136_1,26.18355,127.81877,270002
shapes_136_1,26.18374,127.81876,270003
shapes_136_1,26.18413,127.81878,270004
shapes_136_1,26.18478,127.8189,270005
shapes_136_1,26.18483,127.8189,270006
shapes_136_1,26.18529,127.81892,270007
shapes_136_1,26.1856,127.81894,270008
shapes_136_1,26.18614,127.81896,270009
shapes_136_1,26.1875,127.81901,270010
shapes_136_1,26.18763,127.81902,270011
shapes_136_1,26.18776,127.81898,270012
shapes_136_1,26.18795,127.81889,270013
shapes_136_1,26.18815,127.81869,270014
shapes_136_1,26.18842,127.8182,270015
shapes_136_1,26.18873,127.81726,270016
shapes_136_1,26.1888,127.81708,270017
shapes_136_1,26.18882,127.81701,270018
shapes_136_1,26.1887,127.81735,280001
shapes_136_1,26.18873,127.81726,280002
shapes_136_1,26.1888,127.81708,280003
shapes_136_1,26.1889,127.8168,280004
shapes_136_1,26.18927,127.81515,280005
